iter	Passed	Remaining
443	1252	1568
444	1255	1565
445	1258	1562
446	1260	1559
447	1263	1556
448	1266	1554
449	1269	1551
450	1272	1548
451	1275	1546
452	1278	1543
453	1281	1541
454	1284	1538
455	1288	1536
456	1291	1534
457	1294	1531
458	1296	1528
459	1299	1526
460	1302	1523
461	1305	1520
462	1308	1517
463	1311	1514
464	1314	1512
465	1317	1509
466	1320	1507
467	1323	1504
468	1326	1501
469	1329	1499
470	1332	1496
471	1335	1494
472	1338	1491
473	1341	1488
474	1344	1486
475	1347	1483
476	1350	1480
477	1353	1477
478	1356	1475
479	1359	1473
480	1362	1470
481	1364	1466
482	1368	1464
483	1370	1461
484	1374	1459
485	1377	1456
486	1380	1453
487	1382	1450
488	1386	1448
489	1389	1445
490	1392	1443
491	1394	1440
492	1397	1437
493	1400	1434
494	1402	1431
495	1405	1428
496	1408	1425
497	1411	1422
498	1414	1420
499	1417	1417
500	1420	1414
501	1422	1411
502	1425	1408
503	1428	1406
504	1431	1403
505	1434	1400
506	1437	1398
507	1440	1395
508	1444	1393
509	1447	1390
510	1450	1387
511	1453	1385
512	1457	1383
513	1459	1380
514	1462	1377
515	1465	1375
516	1468	1371
517	1471	1369
518	1473	1366
519	1476	1363
520	1480	1361
521	1483	1358
522	1486	1356
523	1490	1353
524	1492	1350
525	1495	1347
526	1498	1345
527	1502	1343
528	1505	1340
529	1507	1336
530	1510	1334
531	1514	1331
532	1517	1329
533	1520	1326
534	1523	1324
535	1526	1321
536	1529	1318
537	1533	1316
538	1535	1313
539	1538	1310
540	1541	1307
541	1544	1304
542	1547	1302
543	1549	1299
544	1552	1296
545	1555	1293
546	1558	1290
547	1561	1287
548	1564	1285
549	1567	1282
550	1569	1279
551	1572	1276
552	1575	1273
553	1578	1271
554	1581	1268
555	1584	1265
556	1587	1262
557	1590	1260
558	1593	1257
559	1597	1255
560	1600	1252
561	1603	1249
562	1606	1247
563	1609	1244
564	1612	1241
565	1615	1238
566	1618	1236
567	1622	1234
568	1625	1231
569	1628	1228
570	1631	1225
571	1633	1222
572	1637	1219
573	1639	1216
574	1642	1213
575	1645	1211
576	1648	1208
577	1650	1205
578	1654	1202
579	1656	1199
580	1660	1197
581	1662	1194
582	1665	1191
583	1668	1188
584	1672	1186
585	1674	1183
586	1677	1180
587	1680	1177
588	1683	1174
589	1687	1172
590	1690	1169
591	1693	1166
592	1696	1164
593	1699	1161
594	1702	1158
595	1704	1155
596	1707	1152
597	1710	1149
598	1714	1147
599	1717	1145
600	1720	1142
601	1723	1139
602	1726	1136
603	1730	1134
604	1733	1131
605	1736	1129
606	1739	1126
607	1742	1123
608	1745	1120
609	1748	1117
610	1751	1115
611	1754	1112
612	1757	1109
613	1760	1107
614	1763	1104
615	1766	1101
616	1769	1098
617	1772	1095
618	1776	1093
619	1779	1090
620	1782	1087
621	1785	1085
622	1788	1082
623	1791	1079
624	1793	1076
625	1796	1073
626	1799	1070
627	1802	1068
628	1806	1065
629	1808	1062
630	1811	1059
631	1814	1056
632	1817	1053
633	1820	1050
634	1824	1048
635	1826	1045
636	1829	1042
637	1831	1039
638	1834	1036
639	1837	1033
640	1840	1030
641	1844	1028
642	1847	1025
643	1851	1023
644	1854	1020
645	1857	1017
646	1860	1014
647	1863	1012
648	1866	1009
649	1869	1006
650	1872	1004
651	1875	1001
652	1878	998
653	1882	995
654	1885	992
655	1887	989
656	1890	987
657	1893	984
658	1896	981
659	1899	978
660	1902	975
661	1904	972
662	1908	969
663	1910	966
664	1913	963
665	1916	960
666	1918	957
667	1921	955
668	1924	951
669	1926	949
670	1930	946
671	1933	943
672	1936	941
673	1939	938
674	1942	935
675	1945	932
676	1948	929
677	1952	927
678	1955	924
679	1957	921
680	1960	918
681	1963	915
682	1966	912
683	1969	910
684	1972	907
685	1975	904
686	1978	901
687	1981	898
688	1984	895
689	1987	892
690	1990	889
691	1993	887
692	1997	884
693	2000	882
694	2003	879
695	2006	876
696	2008	873
697	2011	870
698	2014	867
699	2018	864
700	2021	862
701	2024	859
702	2027	856
703	2031	853
704	2034	851
705	2037	848
706	2040	845
707	2042	842
708	2046	840
709	2050	837
710	2052	834
711	2056	831
712	2059	828
713	2061	825
714	2064	822
715	2067	819
716	2070	817
717	2072	814
718	2075	811
719	2078	808
720	2081	805
721	2084	802
722	2088	800
723	2091	797
724	2094	794
725	2097	791
726	2101	789
727	2103	786
728	2106	783
729	2110	780
730	2113	777
731	2116	774
732	2119	772
733	2122	769
734	2125	766
735	2128	763
736	2131	760
737	2134	757
738	2137	754
739	2140	751
740	2142	748
741	2145	746
742	2148	743
743	2151	740
744	2154	737
745	2158	734
746	2160	731
747	2163	729
748	2167	726
749	2170	723
750	2173	720
751	2176	717
752	2180	715
753	2183	712
754	2186	709
755	2189	706
756	2192	703
757	2195	701
758	2199	698
759	2203	695
760	2206	692
761	2209	690
762	2212	687
763	2216	684
764	2220	681
765	2223	679
766	2226	676
767	2230	673
768	2233	671
769	2237	668
770	2240	665
771	2243	662
772	2246	659
773	2249	656
774	2252	653
775	2255	650
776	2258	648
777	2261	645
778	2264	642
779	2266	639
780	2269	636
781	2272	633
782	2275	630
783	2278	627
784	2281	624
785	2284	622
786	2287	619
787	2290	616
788	2294	613
789	2296	610
790	2299	607
791	2302	604
792	2305	601
793	2308	598
794	2311	596
795	2314	593
796	2317	590
797	2321	587
798	2325	584
799	2327	581
800	2330	578
801	2334	576
802	2336	573
803	2340	570
