iter	Logloss
0	0.6575403922
1	0.6288541189
2	0.6012294688
3	0.5746036383
4	0.5518248541
5	0.5323948227
6	0.5180134994
7	0.4997783083
8	0.4855764818
9	0.4682608792
10	0.4530869896
11	0.4391070324
12	0.4286420691
13	0.4183104521
14	0.4088605753
15	0.399614347
16	0.391356098
17	0.3834379939
18	0.3760913111
19	0.3707433834
20	0.363832619
21	0.358526641
22	0.3531018507
23	0.3504619092
24	0.3468820505
25	0.3419586722
26	0.3372596218
27	0.3333253381
28	0.3301779314
29	0.3275467288
30	0.3244371265
31	0.3228351833
32	0.3204113497
33	0.3175176046
34	0.314213611
35	0.3126591258
36	0.310388549
37	0.3087275761
38	0.3063132154
39	0.3048305202
40	0.3045797154
41	0.3043495851
42	0.3027517044
43	0.3012512576
44	0.2992253087
45	0.2978381104
46	0.2977043646
47	0.2959186706
48	0.2958111312
49	0.2945402489
50	0.2929539677
51	0.292185287
52	0.291172726
53	0.2903626117
54	0.2890538469
55	0.2884360382
56	0.287356146
57	0.2869448948
58	0.2862053808
59	0.2854290341
60	0.2846165202
61	0.2832256538
62	0.2822710926
63	0.2811948326
64	0.2799535433
65	0.2790071611
66	0.2787017019
67	0.2785606763
68	0.2778486354
69	0.2774804417
70	0.2767492773
71	0.2759730624
72	0.2748556625
73	0.2743300453
74	0.2737887542
75	0.2733404564
76	0.2728922105
77	0.2727037883
78	0.2723003764
79	0.2714313278
80	0.2707572611
81	0.2699794215
82	0.2694518864
83	0.2693417475
84	0.2685437468
85	0.2680631392
86	0.2678124073
87	0.266989353
88	0.2663810788
89	0.2656690392
90	0.2651557926
91	0.2646582232
92	0.2638031488
93	0.2633040612
94	0.2627369936
95	0.2619824349
96	0.2613096056
97	0.2605296086
98	0.2598801838
99	0.2597539548
100	0.2589898402
101	0.2589210581
102	0.2583400498
103	0.2583000499
104	0.2582887037
105	0.2579022608
106	0.2572359163
107	0.2566841133
108	0.2560174037
109	0.2559538054
110	0.2557995558
111	0.2554911956
112	0.2546333742
113	0.2539669226
114	0.2535953484
115	0.2535283476
116	0.2535209817
117	0.2532304563
118	0.2530511236
119	0.2522482943
120	0.251719788
121	0.2517186445
122	0.2516670503
123	0.2511387459
124	0.2508923823
125	0.250804219
126	0.2504579308
127	0.2498011498
128	0.2496463445
129	0.2491147817
130	0.2487517333
131	0.2481227476
132	0.2476768627
133	0.2476756836
134	0.2470524356
135	0.2461374014
136	0.2456719997
137	0.2455365217
138	0.2455285164
139	0.2450635515
140	0.2450623513
141	0.2442420524
142	0.2439252314
143	0.2434086092
144	0.2434071609
145	0.2431921058
146	0.2428809463
147	0.2424067852
148	0.2420795501
149	0.2420524793
150	0.2419186933
151	0.2414080807
152	0.2412131364
153	0.2408220492
154	0.2408210657
155	0.2408033918
156	0.2405117256
157	0.2402346744
158	0.2397299321
159	0.2393186579
160	0.2387390553
161	0.2382607863
162	0.2382530961
163	0.2376614856
164	0.2371107945
165	0.2366828791
166	0.2364504514
167	0.2362679972
168	0.2357655831
169	0.2354606873
170	0.2351061577
171	0.23464819
172	0.234288786
173	0.2337641101
174	0.2337623428
175	0.2334976979
176	0.2332930079
177	0.2328250283
178	0.2322296328
179	0.2317901812
180	0.2312696403
181	0.2307835807
182	0.2307824412
183	0.2307081144
184	0.2303662143
185	0.2303645736
186	0.2299067149
187	0.2297914263
188	0.2294230156
189	0.2291532423
190	0.2291511258
191	0.2284841211
192	0.2281663764
193	0.2280724342
194	0.2278253852
195	0.2274196681
196	0.2274140989
197	0.2272228294
198	0.2266277093
199	0.226422759
200	0.2263329228
201	0.2258930821
202	0.2254812074
203	0.2251166268
204	0.2247367468
205	0.2243605041
206	0.224359684
207	0.2238486655
208	0.2235488016
209	0.2230900686
210	0.2230065111
211	0.2225523966
212	0.2221013929
213	0.2216199154
214	0.2212411986
215	0.2209423558
216	0.2203285004
217	0.2198398285
218	0.2193753154
219	0.2192925818
220	0.2191033644
221	0.2191026339
222	0.2189210728
223	0.2186447909
224	0.2185484493
225	0.2180767695
226	0.2179204552
227	0.2172862433
228	0.2167745895
229	0.2164961413
230	0.2162536096
231	0.2159983017
232	0.2157921532
233	0.2155561642
234	0.2152831291
235	0.2151501221
236	0.214929325
237	0.2147933373
238	0.2143406842
239	0.2141856384
240	0.2135640058
241	0.2133748498
242	0.2133742578
243	0.2126325807
244	0.2125164633
245	0.2120335994
246	0.2113757805
247	0.2111062495
248	0.2109976468
249	0.2108401963
250	0.2106047254
251	0.2103302021
252	0.2099621943
253	0.2093517422
254	0.2092169115
255	0.2089867092
256	0.2086618166
257	0.2085036895
258	0.2081136912
259	0.2078775959
260	0.2074781093
261	0.2069452097
262	0.2066269318
263	0.2063407044
264	0.2060005078
265	0.2057888132
266	0.2054644527
267	0.204960077
268	0.2042681527
269	0.2036244673
270	0.2033685017
271	0.2028824779
272	0.2027466873
273	0.2024904432
274	0.2024897827
275	0.2020782173
276	0.2018155073
277	0.2014320967
278	0.201195411
279	0.2008851798
280	0.2003841715
281	0.2001273619
282	0.1998513657
283	0.1996298654
284	0.1994761284
285	0.1990788582
286	0.1989386695
287	0.1986381014
288	0.1982559611
289	0.1981584279
290	0.1979061886
291	0.1971843844
292	0.196911147
293	0.1967433073
294	0.1961595188
295	0.1959474623
296	0.1956549669
297	0.1953583581
298	0.1948474829
299	0.1946552953
300	0.1945764643
301	0.1943325806
302	0.1939850953
303	0.1937563935
304	0.1932992105
305	0.1929044754
306	0.1926852325
307	0.192477977
308	0.1921783715
309	0.1920562703
310	0.1917910561
311	0.1913592807
312	0.1911012363
313	0.1905552645
314	0.1904554783
315	0.1900802103
316	0.1898012813
317	0.1894593499
318	0.18910141
319	0.1888716809
320	0.1885941099
321	0.1880336327
322	0.1878774685
323	0.1873751751
324	0.1871810614
325	0.1867549305
326	0.1863263879
327	0.1861145686
328	0.1856221444
329	0.1852696478
330	0.1848880245
331	0.1846446324
332	0.1840735314
333	0.1838692928
334	0.1837409836
335	0.1833000345
336	0.182877419
337	0.1827469092
338	0.1824402058
339	0.1822163164
340	0.1820514513
341	0.1819780483
342	0.1816973811
343	0.1813090553
344	0.1811480394
345	0.1810584418
346	0.1808116615
347	0.1805250878
348	0.1803591676
349	0.1801499277
350	0.1796857782
351	0.1795572125
352	0.1794102105
353	0.1790143635
354	0.1786189049
355	0.1783246242
356	0.1779747379
357	0.1775865721
358	0.1773198722
359	0.1772064625
360	0.1768964677
361	0.1767840194
362	0.1766419325
363	0.1765623097
364	0.1763843915
365	0.1760424228
366	0.1759370734
367	0.175756774
368	0.1753629429
369	0.1751691987
370	0.1747538285
371	0.174647902
372	0.1745821886
373	0.1744651204
374	0.1740595201
375	0.1738032872
376	0.1733592885
377	0.1730717088
378	0.1728522783
379	0.1726913534
380	0.1724662844
381	0.1721926389
382	0.1718424521
383	0.1714566045
384	0.171380971
385	0.1713216044
386	0.1710047975
387	0.1707505234
388	0.1705432278
389	0.1704365491
390	0.1703550057
391	0.1702110816
392	0.1699471801
393	0.1697246087
394	0.1695926363
395	0.1692770134
396	0.1689220248
397	0.1688195779
398	0.1686933221
399	0.168217833
400	0.1677907684
401	0.167482326
402	0.1671253932
403	0.1670689984
404	0.1669928656
405	0.166797331
406	0.1667760186
407	0.1666069045
408	0.1665451803
409	0.1660625471
410	0.1659178627
411	0.1657817993
412	0.165506382
413	0.1651814553
414	0.1649829774
415	0.1646549756
416	0.1644789001
417	0.1643162624
418	0.1641513061
419	0.1640483209
420	0.1637998239
421	0.1637428435
422	0.163648203
423	0.1636004151
424	0.1634776313
425	0.1633191033
426	0.1630832027
427	0.1627274229
428	0.1623933987
429	0.1622112117
430	0.1619419695
431	0.161797156
432	0.1612860233
433	0.1608619519
434	0.1604890741
435	0.1603723157
436	0.1599397
437	0.159839262
438	0.1597097276
439	0.1592495293
440	0.1590366981
441	0.1588468572
442	0.1586763696
443	0.1584514472
444	0.157948952
445	0.1578982247
446	0.1574584249
447	0.1572126526
448	0.156874733
449	0.1566809257
450	0.1562422381
451	0.1559534025
452	0.1557808236
453	0.1556269483
454	0.1555385047
455	0.1554574103
456	0.1552284818
457	0.1551208947
458	0.1548462311
459	0.1546496475
460	0.1543048077
461	0.1542407895
462	0.1539571321
463	0.1537938592
464	0.1533815754
465	0.1529972036
466	0.1528800219
467	0.1526825239
468	0.1525092396
469	0.1524437472
470	0.1523443757
471	0.1520740155
472	0.1519663745
473	0.1517913405
474	0.1513577285
475	0.1512502403
476	0.1510753797
477	0.1509060185
478	0.1506943853
479	0.1505935501
480	0.1503041288
481	0.1499515748
482	0.1498072414
483	0.1494153074
484	0.1493479135
485	0.1492349081
486	0.1491053692
487	0.148856704
488	0.148575556
489	0.1482622881
490	0.1480836594
491	0.147737794
492	0.1475643087
493	0.1472064168
494	0.1471286576
495	0.1468373762
496	0.1467058513
497	0.1463864264
498	0.1462295529
499	0.1458674794
500	0.1457611534
501	0.1456327466
502	0.1453056363
503	0.1451917329
504	0.1451364084
505	0.14492093
506	0.1444888633
507	0.1443353465
508	0.1441014162
509	0.1440452966
